table1	20210529080000	1186078
table1	20210424060000	253250
table1	20210309090000	2695627
table1	20210816000000	350509
table1	20210806080000	1542740
table1	20210805120000	3932661
table1	20210705210000	2066159
table1	20210106010000	349373
table1	20210522110000	6113736
table1	20210223100000	2679427
table1	20210423090000	3044583
table1	20210818160000	3544998
table1	20210429100000	3827144
table1	20210620010000	396987
table1	20210502000000	433563
table1	20210104130000	3008254
table1	20210510020000	225787
table1	20210612230000	902264
table1	20210210150000	4536104
table1	20210324130000	4030076
table1	20210605030000	185530
table1	20210203200000	2680933
table1	20210214000000	482748
table1	20210709040000	137043
